震级,日期,时间,纬度,经度,深度,地点
3.9,2023-08-29,17:30:58,41.29,83.79,10,新疆阿克苏地区库车市
4.6,2023-08-29,16:08:42,39.39,78.09,10,新疆喀什地区巴楚县
2.3,2023-08-29,15:31:43,39.88,118.87,15,河北秦皇岛市卢龙县
3.1,2023-08-29,13:23:29,41.32,83.80,10,新疆阿克苏地区库车市
5.5,2023-08-29,12:59:23,10.10,-78.30,40,巴拿马以北海域
5.9,2023-08-29,12:34:43,-5.70,130.00,220,印尼班达海
3.7,2023-08-29,12:02:28,41.32,83.78,15,新疆阿克苏地区库车市
5.9,2023-08-29,04:08:07,-7.15,117.20,470,印尼巴厘海
7.1,2023-08-29,03:55:32,-6.80,116.60,520,印尼巴厘海
5.3,2023-08-28,05:45:00,5.25,-76.70,10,哥伦比亚
3.0,2023-08-27,21:32:14,34.72,98.05,9,青海果洛州玛多县
3.0,2023-08-27,12:49:15,38.96,102.61,22,甘肃武威市民勤县
3.9,2023-08-26,19:23:02,34.66,81.93,10,西藏阿里地区日土县
3.5,2023-08-26,05:43:41,33.56,88.68,10,西藏那曲市双湖县
5.8,2023-08-25,06:48:21,39.50,143.55,10,日本本州东海岸远海
2.8,2023-08-25,00:33:55,23.77,114.62,12,广东河源市源城区（有感）
3.2,2023-08-24,16:22:27,34.12,84.94,10,西藏阿里地区改则县
6.1,2023-08-23,22:22:42,-26.95,-63.50,580,阿根廷
2.8,2023-08-23,18:40:55,39.42,122.18,10,辽宁大连市普兰店区
4.6,2023-08-23,18:19:47,39.42,122.20,8,辽宁大连市普兰店区
3.0,2023-08-23,05:09:44,30.39,94.82,10,西藏林芝市波密县
4.1,2023-08-23,02:46:49,30.33,94.91,10,西藏林芝市波密县
3.1,2023-08-21,08:03:59,23.24,101.70,10,云南普洱市墨江县
5.9,2023-08-21,03:59:48,-55.90,-27.30,50,南桑威奇群岛
4.3,2023-08-20,23:28:23,39.91,77.77,18,新疆喀什地区伽师县
3.0,2023-08-20,16:24:02,41.08,83.58,10,新疆阿克苏地区沙雅县
3.5,2023-08-20,07:06:53,30.37,94.84,10,西藏林芝市波密县
4.3,2023-08-19,22:46:05,30.37,94.84,10,西藏林芝市波密县
4.2,2023-08-19,15:31:49,29.58,104.88,8,四川内江市市中区
3.2,2023-08-19,06:21:42,33.68,92.86,10,青海玉树州治多县
3.3,2023-08-19,01:49:34,28.11,87.11,20,西藏日喀则市定日县
5.3,2023-08-18,15:57:57,-0.30,-19.70,10,中大西洋海岭中部
4.0,2023-08-18,10:39:23,29.58,104.87,10,四川内江市市中区
3.4,2023-08-18,09:52:24,29.60,104.88,10,四川内江市资中县
3.4,2023-08-18,09:30:08,29.58,104.85,10,四川内江市资中县
6.2,2023-08-18,01:04:50,4.25,-73.35,10,哥伦比亚
6.4,2023-08-16,20:47:42,-13.85,167.20,220,瓦努阿图群岛
2.9,2023-08-15,03:06:46,43.62,87.44,27,新疆乌鲁木齐市沙依巴克区（有感）
5.0,2023-08-14,22:49:47,24.80,92.15,10,孟加拉国
6.1,2023-08-14,21:51:54,13.30,147.45,10,马里亚纳群岛
4.4,2023-08-13,20:55:01,24.32,101.88,10,云南楚雄州双柏县
5.4,2023-08-13,09:43:11,20.50,121.50,60,巴坦群岛
3.6,2023-08-12,22:09:10,34.99,89.66,10,青海玉树州治多县
3.0,2023-08-12,01:04:00,41.77,82.59,11,新疆阿克苏地区拜城县
3.1,2023-08-11,09:19:43,33.64,89.32,10,西藏那曲市双湖县
6.0,2023-08-11,08:14:33,41.20,142.85,50,日本北海道附近海域
5.1,2023-08-11,01:48:02,38.25,38.15,10,土耳其
3.4,2023-08-10,17:02:47,29.39,102.17,13,四川雅安市石棉县
5.2,2023-08-10,10:00:28,-5.75,131.40,90,印尼班达海
3.2,2023-08-10,09:08:39,44.15,89.12,11,新疆昌吉州吉木萨尔县
3.6,2023-08-09,20:35:34,39.95,77.44,23,新疆克孜勒苏州阿图什市
5.8,2023-08-09,17:33:26,16.15,-93.65,120,墨西哥
5.9,2023-08-09,17:20:29,13.40,144.15,460,马里亚纳群岛
5.1,2023-08-09,15:53:26,-22.10,-65.95,250,阿根廷
3.0,2023-08-09,04:16:22,28.42,104.77,8,四川宜宾市珙县
6.2,2023-08-09,02:38:58,-15.25,-173.20,100,汤加群岛
3.2,2023-08-07,14:38:44,29.60,102.06,10,四川甘孜州泸定县
5.9,2023-08-06,08:32:46,36.45,70.55,200,阿富汗
3.0,2023-08-06,03:02:44,37.16,116.34,9,山东德州市平原县
5.5,2023-08-06,02:33:59,37.16,116.34,10,山东德州市平原县
5.9,2023-08-06,00:01:48,36.45,70.85,190,阿富汗
6.1,2023-08-05,15:20:05,-28.20,-63.20,590,阿根廷
3.1,2023-08-05,08:23:45,39.47,77.28,15,新疆喀什地区伽师县
3.1,2023-08-05,08:05:45,40.54,83.44,16,新疆阿克苏地区沙雅县
5.7,2023-08-04,19:48:39,-0.40,125.20,50,印尼马鲁古海
4.2,2023-08-04,11:05:03,33.14,92.06,10,青海海西州唐古拉地区
5.6,2023-08-04,08:31:44,-6.25,113.05,590,印尼爪哇岛附近海域
5.6,2023-08-04,03:33:52,54.85,-161.30,40,美国阿拉斯加州以南海域
3.2,2023-08-03,15:41:12,37.97,75.66,119,新疆克孜勒苏州阿克陶县
5.9,2023-08-03,09:25:21,5.60,-82.65,10,巴拿马以南海域
3.0,2023-08-03,00:09:28,31.48,105.18,16,四川绵阳市梓潼县
5.7,2023-08-02,09:32:33,-21.35,-179.15,600,斐济群岛
5.5,2023-08-02,01:15:23,15.20,39.50,10,厄立特里亚
5.3,2023-08-02,00:49:47,54.70,168.25,10,科曼多尔群岛地区
3.0,2023-08-01,12:11:46,29.50,104.81,10,四川内江市威远县
4.4,2023-08-01,01:56:43,25.88,104.09,9,云南曲靖市沾益区
2.8,2023-07-31,17:38:15,41.16,114.41,10,河北张家口市张北县
3.1,2023-07-31,12:02:57,31.95,92.89,10,西藏那曲市比如县
2.9,2023-07-31,04:13:50,25.63,99.09,10,云南大理州云龙县
3.7,2023-07-31,02:33:42,30.29,94.88,10,西藏林芝市波密县
4.2,2023-07-30,12:15:10,30.27,94.81,10,西藏林芝市波密县
5.7,2023-07-30,09:10:33,12.90,-90.80,30,危地马拉沿岸近海
3.7,2023-07-29,21:00:09,44.24,83.39,20,新疆博尔塔拉州精河县
5.9,2023-07-29,03:23:46,10.50,93.35,100,印度安达曼群岛地区
5.8,2023-07-28,15:58:51,-30.60,59.95,10,西南印度洋海岭
3.4,2023-07-28,11:20:27,30.37,94.85,10,西藏林芝市波密县
4.2,2023-07-28,06:13:54,30.34,94.90,10,西藏林芝市波密县
3.1,2023-07-27,02:33:05,40.97,83.05,17,新疆阿克苏地区沙雅县
6.4,2023-07-26,20:44:38,-14.70,167.85,10,瓦努阿图群岛
5.5,2023-07-25,18:35:20,17.20,145.60,400,马里亚纳群岛
5.3,2023-07-25,13:44:50,37.40,35.95,10,土耳其
5.4,2023-07-25,08:25:11,-9.15,123.90,80,帝汶岛地区
6.0,2023-07-24,10:49:58,-24.05,178.85,550,斐济群岛以南海域
3.0,2023-07-23,21:04:36,30.76,80.25,10,西藏阿里地区札达县
3.7,2023-07-23,17:19:09,29.64,104.61,8,四川内江市威远县
3.2,2023-07-23,15:04:20,34.06,91.30,10,青海海西州唐古拉地区
3.3,2023-07-23,09:00:27,29.63,104.61,8,四川内江市威远县
3.2,2023-07-22,16:52:13,40.64,78.31,12,新疆克孜勒苏州阿合奇县
6.6,2023-07-19,08:22:08,12.70,-88.10,70,尼加拉瓜沿岸近海
3.1,2023-07-19,07:55:14,38.67,98.87,9,青海海北州祁连县
3.1,2023-07-19,07:25:29,36.57,82.27,10,新疆和田地区于田县
3.0,2023-07-18,03:42:46,25.25,100.82,10,云南大理州祥云县
3.2,2023-07-17,16:22:55,35.39,84.72,10,西藏阿里地区改则县
5.4,2023-07-17,12:42:16,-1.50,126.50,20,印尼马鲁古海
6.7,2023-07-17,11:05:09,-38.10,-70.35,180,阿根廷
7.2,2023-07-16,14:48:21,54.55,-160.95,20,美国阿拉斯加州以南海域
3.0,2023-07-16,04:57:00,41.12,83.56,19,新疆阿克苏地区沙雅县
3.7,2023-07-16,03:42:47,38.31,89.34,10,新疆巴音郭楞州若羌县
3.4,2023-07-15,18:39:36,39.95,83.64,10,新疆阿克苏地区沙雅县
6.2,2023-07-14,17:29:02,15.10,-93.80,40,墨西哥沿岸近海
3.4,2023-07-12,21:48:24,41.13,83.63,18,新疆阿克苏地区库车市
4.2,2023-07-11,06:49:10,40.05,83.28,50,新疆阿克苏地区沙雅县
6.6,2023-07-11,04:28:25,20.00,-61.20,10,背风群岛
4.1,2023-07-10,06:11:34,24.08,121.50,20,台湾花莲县
5.6,2023-07-10,01:11:32,-33.25,-69.95,90,阿根廷
3.4,2023-07-09,16:54:56,40.84,78.33,17,新疆克孜勒苏州阿合奇县
4.7,2023-07-09,05:22:06,22.10,121.50,10,台湾屏东县海域
5.4,2023-07-09,03:47:14,22.03,121.49,10,台湾屏东县海域
3.1,2023-07-07,23:55:34,43.83,112.63,15,内蒙古锡林郭勒盟苏尼特左旗
3.0,2023-07-07,22:13:11,40.09,77.21,15,新疆克孜勒苏州阿图什市
2.9,2023-07-07,05:38:38,34.29,113.46,8,河南许昌市禹州市
4.1,2023-07-07,02:03:55,23.08,121.22,10,台湾台东县
5.9,2023-07-06,08:31:54,-23.90,-68.05,130,智利
3.4,2023-07-06,03:25:04,40.13,77.12,10,新疆克孜勒苏州阿图什市
4.3,2023-07-04,10:08:02,38.45,76.45,13,新疆克孜勒苏州阿克陶县
3.8,2023-07-04,07:48:52,43.91,89.26,20,新疆昌吉州吉木萨尔县
5.4,2023-07-04,04:01:50,41.75,49.30,60,里海
3.1,2023-07-04,01:13:39,23.85,114.51,8,广东河源市东源县
3.7,2023-07-03,20:57:13,23.85,114.50,9,广东河源市东源县
5.3,2023-07-03,10:51:34,-3.90,140.25,20,印尼巴布亚省
3.4,2023-07-02,20:59:15,19.67,108.73,10,海南昌江县海域
6.9,2023-07-02,18:27:41,-17.85,-175.00,210,汤加群岛
3.3,2023-07-02,16:59:32,34.75,97.29,9,青海果洛州玛多县
3.4,2023-07-02,16:57:53,34.75,97.30,9,青海果洛州玛多县
3.3,2023-07-02,13:01:58,44.52,80.97,20,新疆伊犁州霍城县
3.0,2023-07-02,00:13:13,37.81,87.39,10,新疆巴音郭楞州且末县
5.0,2023-07-01,17:15:01,49.95,155.35,150,千岛群岛
5.8,2023-07-01,15:29:39,-0.25,88.60,10,南印度洋
3.7,2023-07-01,11:56:06,28.12,105.15,13,四川宜宾市兴文县
3.1,2023-07-01,09:03:42,29.20,105.35,17,四川泸州市泸县
5.9,2023-06-30,20:57:42,-8.70,110.05,80,印尼爪哇岛以南海域
3.7,2023-06-30,18:50:50,38.71,74.41,50,新疆克孜勒苏州阿克陶县
3.1,2023-06-30,18:33:08,43.35,82.51,15,新疆伊犁州新源县
5.0,2023-06-29,12:58:00,37.10,71.85,140,塔吉克斯坦
4.0,2023-06-29,00:43:34,34.35,89.02,8,西藏那曲市安多县
5.9,2023-06-28,07:38:20,42.10,134.20,450,俄罗斯东南沿岸近海
6.0,2023-06-25,15:16:58,-24.10,-175.15,10,汤加群岛
3.3,2023-06-25,09:16:14,37.56,77.91,20,新疆和田地区皮山县
3.0,2023-06-24,19:55:31,40.11,75.68,20,新疆克孜勒苏州乌恰县
5.0,2023-06-24,03:07:36,20.72,109.07,20,北部湾
5.6,2023-06-24,01:39:13,45.75,143.25,320,日本北海道地区
3.0,2023-06-21,20:25:40,39.94,82.98,10,新疆阿克苏地区沙雅县
3.3,2023-06-21,09:26:04,24.46,102.03,10,云南玉溪市峨山县
5.4,2023-06-20,16:39:16,-1.05,98.45,20,印尼苏门答腊岛南部海域
6.1,2023-06-19,19:18:12,-4.55,144.80,20,巴布亚新几内亚
3.7,2023-06-19,13:24:49,40.49,77.59,25,新疆克孜勒苏州阿图什市
5.5,2023-06-19,09:40:23,15.20,96.10,10,缅甸南岸近海
5.9,2023-06-19,05:59:20,-48.55,31.15,10,非洲以南海域
6.4,2023-06-19,04:30:23,23.30,-108.45,10,加利福尼亚湾
3.0,2023-06-18,14:18:16,37.76,101.29,9,青海海北州门源县
3.9,2023-06-18,10:58:23,35.94,79.86,10,新疆和田地区和田县
3.3,2023-06-18,09:23:56,36.32,111.74,26,山西临汾市洪洞县
3.7,2023-06-18,04:46:46,35.81,79.80,10,新疆和田地区和田县
3.8,2023-06-18,01:08:11,35.80,79.78,10,新疆和田地区和田县
4.4,2023-06-18,00:14:24,35.79,79.83,10,新疆和田地区和田县
5.6,2023-06-17,19:35:59,47.75,147.60,430,千岛群岛西北
5.9,2023-06-17,19:26:23,-23.65,-175.50,10,汤加群岛
5.3,2023-06-17,08:26:14,41.10,142.80,10,日本本州东岸近海
3.1,2023-06-17,08:05:51,39.58,82.57,20,新疆阿克苏地区沙雅县
6.2,2023-06-17,03:10:52,-23.50,-175.70,20,汤加群岛
5.8,2023-06-16,16:11:31,-23.60,-175.30,20,汤加群岛
7.2,2023-06-16,02:06:24,-22.95,-177.10,130,斐济群岛
3.2,2023-06-16,01:19:35,38.31,89.40,10,新疆巴音郭楞州若羌县
3.7,2023-06-15,21:58:09,40.14,77.46,23,新疆克孜勒苏州阿图什市
3.6,2023-06-15,11:21:27,32.44,94.24,10,西藏那曲市巴青县
6.2,2023-06-15,10:19:24,13.80,120.85,100,菲律宾
2.2,2023-06-14,22:24:41,37.12,114.78,10,河北邢台市任泽区
3.0,2023-06-14,13:39:40,38.16,88.79,9,新疆巴音郭楞州若羌县
4.1,2023-06-14,04:17:56,41.71,80.81,10,新疆阿克苏地区温宿县
5.2,2023-06-13,16:03:43,33.10,75.80,20,克什米尔地区
3.6,2023-06-13,08:48:30,40.18,83.80,18,新疆阿克苏地区沙雅县
3.7,2023-06-13,05:52:59,33.10,86.73,10,西藏那曲市尼玛县
3.3,2023-06-12,00:04:18,43.38,88.98,19,新疆吐鲁番市高昌区
5.6,2023-06-11,21:08:47,-56.95,147.60,10,麦夸里岛地区
4.3,2023-06-11,20:25:38,24.26,122.47,27,台湾花莲县海域
3.6,2023-06-11,19:29:45,48.74,129.79,17,黑龙江伊春市嘉荫县
6.2,2023-06-11,17:54:45,42.50,142.00,130,日本北海道
3.8,2023-06-11,17:40:14,40.79,82.63,20,新疆阿克苏地区沙雅县
3.3,2023-06-11,00:12:51,35.84,79.77,10,新疆和田地区和田县
4.2,2023-06-10,17:12:34,22.85,120.60,19,台湾屏东县
4.7,2023-06-10,13:31:54,22.88,120.65,14,台湾高雄市
3.2,2023-06-10,10:52:29,31.73,104.08,18,四川阿坝州茂县
3.1,2023-06-08,20:25:13,32.20,88.89,15,西藏那曲市双湖县
5.7,2023-06-08,17:19:32,-22.30,170.30,50,洛亚蒂群岛
3.1,2023-06-08,07:58:54,28.34,104.56,10,四川宜宾市高县
3.2,2023-06-08,01:07:54,43.63,85.99,15,新疆昌吉州玛纳斯县
2.9,2023-06-06,04:22:39,35.12,110.25,25,陕西渭南市合阳县
3.8,2023-06-05,04:39:09,38.29,93.84,10,青海海西州茫崖市
5.3,2023-06-03,21:58:02,12.45,48.15,10,亚丁湾
5.9,2023-06-03,15:17:45,12.65,47.90,10,亚丁湾
5.3,2023-06-03,09:49:17,-15.85,-71.75,20,秘鲁
3.6,2023-06-02,00:00:13,40.80,79.21,13,新疆阿克苏地区柯坪县
5.7,2023-05-31,19:20:15,25.05,96.40,10,缅甸
3.4,2023-05-31,16:23:23,24.21,102.64,9,云南玉溪市通海县
4.0,2023-05-31,15:12:47,40.27,77.20,16,新疆克孜勒苏州阿图什市
3.4,2023-05-31,14:14:32,40.46,77.16,16,新疆克孜勒苏州阿图什市
5.6,2023-05-30,08:52:09,24.15,143.15,60,日本火山列岛地区
3.7,2023-05-29,22:17:48,40.32,83.92,16,新疆阿克苏地区沙雅县
3.0,2023-05-29,11:59:06,36.78,76.89,80,新疆喀什地区叶城县
3.0,2023-05-29,07:50:30,35.89,100.87,9,青海海南州贵南县
3.9,2023-05-29,02:51:21,28.58,91.43,10,西藏山南市措美县
3.7,2023-05-29,02:08:43,39.27,104.25,10,内蒙古阿拉善盟阿拉善左旗
5.2,2023-05-28,23:45:58,7.10,-73.10,160,哥伦比亚
4.1,2023-05-28,15:53:00,35.09,85.93,10,西藏阿里地区改则县
5.3,2023-05-28,13:49:57,36.65,71.15,200,阿富汗
5.6,2023-05-28,11:29:55,-10.00,161.35,120,所罗门群岛
3.6,2023-05-28,05:36:33,27.21,92.68,10,西藏山南市错那县
5.9,2023-05-27,08:11:01,-18.40,-175.00,230,汤加群岛
3.0,2023-05-27,03:57:13,40.36,83.90,19,新疆阿克苏地区沙雅县
3.1,2023-05-27,03:13:37,40.33,83.91,16,新疆阿克苏地区沙雅县
6.2,2023-05-26,18:03:24,35.55,140.70,50,日本本州东岸近海
3.8,2023-05-26,16:07:56,39.68,75.01,18,新疆克孜勒苏州乌恰县
4.8,2023-05-25,21:48:25,20.85,122.20,10,巴坦群岛海域
3.0,2023-05-25,15:58:52,40.29,83.89,10,新疆阿克苏地区沙雅县
3.0,2023-05-25,15:31:21,39.31,110.59,0,内蒙古鄂尔多斯市准格尔旗（疑似塌陷）
3.9,2023-05-25,12:57:55,28.32,104.56,9,四川宜宾市高县
6.5,2023-05-25,11:05:31,8.90,-77.10,10,哥伦比亚北岸近海
6.1,2023-05-24,23:49:34,-7.05,129.60,170,班达海
3.2,2023-05-24,03:21:26,40.83,82.60,21,新疆阿克苏地区沙雅县
3.4,2023-05-23,23:18:04,41.85,82.10,18,新疆阿克苏地区拜城县
4.3,2023-05-23,22:42:56,41.78,82.18,13,新疆阿克苏地区拜城县
3.0,2023-05-23,20:09:00,37.50,78.31,10,新疆和田地区皮山县
6.1,2023-05-23,14:42:01,-22.85,170.25,10,洛亚蒂群岛
3.1,2023-05-22,20:54:45,40.91,78.11,10,新疆克孜勒苏州阿合奇县
3.1,2023-05-22,19:56:43,20.81,110.53,16,广东湛江市麻章区海域
3.3,2023-05-22,19:18:41,28.38,104.82,8,四川宜宾市珙县
3.2,2023-05-22,18:49:01,28.37,104.83,8,四川宜宾市珙县
3.0,2023-05-22,16:23:53,28.27,104.91,8,四川宜宾市兴文县
5.3,2023-05-22,15:51:10,-17.30,-64.05,600,玻利维亚
5.0,2023-05-22,13:43:25,36.35,71.15,150,阿富汗
3.0,2023-05-22,12:19:14,28.38,104.83,8,四川宜宾市长宁县
3.3,2023-05-22,10:35:26,28.38,104.83,8,四川宜宾市长宁县
5.3,2023-05-22,06:20:04,29.75,129.35,190,琉球群岛
4.5,2023-05-22,03:56:44,28.40,104.83,8,四川宜宾市珙县
6.0,2023-05-21,23:45:13,-10.20,161.50,70,所罗门群岛
6.9,2023-05-21,22:56:46,-43.30,39.25,10,爱得华王子群岛地区
2.8,2023-05-20,11:51:38,24.97,99.26,10,云南保山市隆阳区
7.2,2023-05-20,09:50:58,-22.95,170.45,20,洛亚蒂群岛
2.9,2023-05-20,09:03:26,34.26,113.66,10,河南许昌市长葛市
5.7,2023-05-19,23:15:03,12.75,49.00,10,亚丁湾
3.2,2023-05-19,18:26:43,41.31,84.03,10,新疆巴音郭楞州轮台县
5.3,2023-05-19,15:13:43,-23.15,170.80,10,洛亚蒂群岛
7.7,2023-05-19,10:57:02,-23.10,170.70,10,洛亚蒂群岛
3.9,2023-05-19,05:18:32,33.48,91.05,10,青海海西州唐古拉地区
6.4,2023-05-18,07:02:01,15.10,-90.90,250,危地马拉
4.5,2023-05-17,05:56:23,42.78,80.59,10,新疆伊犁州昭苏县
3.0,2023-05-16,19:28:37,28.08,105.12,10,四川宜宾市兴文县
5.4,2023-05-15,15:39:40,-22.90,-66.75,200,阿根廷
5.1,2023-05-14,23:32:20,0.50,126.90,100,印尼马鲁古海北部
5.5,2023-05-14,18:11:34,33.60,139.45,10,日本本州东南海域
3.0,2023-05-14,16:49:13,38.14,75.66,118,新疆克孜勒苏州阿克陶县
5.3,2023-05-14,16:21:42,33.35,139.40,10,日本本州东南海域
5.5,2023-05-12,07:19:45,40.25,-120.90,10,美国加利福尼亚州
4.0,2023-05-12,06:07:18,29.62,102.03,10,四川甘孜州泸定县
3.0,2023-05-12,04:49:57,29.66,102.01,9,四川甘孜州泸定县
4.2,2023-05-12,04:32:10,29.63,102.02,10,四川甘孜州泸定县
4.5,2023-05-12,02:34:04,29.64,102.04,10,四川甘孜州泸定县
5.9,2023-05-11,21:33:11,24.00,125.40,10,琉球群岛
7.5,2023-05-11,00:02:01,-15.50,-174.50,200,汤加群岛
3.6,2023-05-10,08:38:11,28.11,105.09,8,四川宜宾市兴文县
3.3,2023-05-09,19:23:29,41.20,83.28,15,新疆阿克苏地区库车市
3.1,2023-05-09,18:22:15,35.78,79.81,10,新疆和田地区和田县
3.1,2023-05-09,14:12:22,41.07,78.84,10,新疆阿克苏地区乌什县
2.3,2023-05-09,12:31:46,37.51,115.07,10,河北邢台市宁晋县
3.0,2023-05-08,04:06:46,29.72,103.26,18,四川眉山市洪雅县
3.3,2023-05-06,21:23:45,29.61,102.03,8,四川甘孜州泸定县
3.0,2023-05-06,20:39:11,30.67,117.05,10,安徽安庆市宜秀区
3.7,2023-05-06,13:01:57,29.15,105.45,10,四川泸州市泸县
3.1,2023-05-06,10:19:43,47.73,130.85,8,黑龙江鹤岗市萝北县
5.4,2023-05-06,01:47:17,41.45,142.10,40,日本北海道地区
5.7,2023-05-05,20:58:05,37.35,137.35,10,日本本州西岸近海
4.3,2023-05-05,20:33:19,28.08,105.12,8,四川宜宾市兴文县
6.3,2023-05-05,13:42:05,37.40,137.40,10,日本本州西岸近海
3.1,2023-05-05,11:32:04,25.12,98.13,12,云南德宏州盈江县
3.2,2023-05-05,10:28:39,25.14,98.11,8,云南德宏州盈江县
3.4,2023-05-05,08:35:26,35.79,79.86,10,新疆和田地区和田县
4.5,2023-05-04,23:38:21,23.46,121.33,10,台湾花莲县
2.1,2023-05-04,19:00:31,38.46,117.97,9,河北沧州市黄骅市海域
3.0,2023-05-04,15:53:46,40.80,83.91,15,新疆阿克苏地区沙雅县
3.3,2023-05-04,14:06:24,28.92,102.47,15,四川雅安市石棉县
3.3,2023-05-04,11:46:24,33.34,119.28,14,江苏扬州市宝应县
4.9,2023-05-04,10:15:28,28.14,105.12,10,四川宜宾市兴文县
5.3,2023-05-03,17:51:19,36.50,70.65,200,阿富汗
4.5,2023-05-03,13:04:00,28.10,105.12,8,四川宜宾市兴文县
4.0,2023-05-03,12:08:19,28.12,105.15,10,四川宜宾市兴文县
3.7,2023-05-03,10:01:22,29.41,104.54,10,四川自贡市贡井区
5.7,2023-05-03,04:09:58,-4.10,142.70,110,巴布亚新几内亚
3.2,2023-05-03,02:27:01,34.34,83.90,10,西藏阿里地区改则县
4.4,2023-05-02,23:38:19,25.35,99.29,10,云南保山市隆阳区
5.2,2023-05-02,23:27:22,25.35,99.28,10,云南保山市隆阳区
3.1,2023-05-02,02:49:22,42.13,83.28,20,新疆阿克苏地区库车市
3.3,2023-05-01,22:08:05,40.27,103.68,15,内蒙古阿拉善盟阿拉善右旗
5.8,2023-05-01,11:22:09,25.95,128.65,10,琉球群岛
5.7,2023-04-28,17:19:55,-4.60,133.70,30,印尼西巴布亚省附近海域
5.6,2023-04-28,11:51:05,-25.10,178.48,580,斐济群岛以南海域
6.5,2023-04-28,11:13:44,-25.10,178.50,590,斐济群岛以南海域
3.3,2023-04-28,10:49:41,32.46,93.53,10,西藏那曲市巴青县
5.7,2023-04-28,09:07:50,-60.15,-27.95,120,南桑威奇群岛
3.5,2023-04-27,14:21:17,29.62,104.64,8,四川内江市威远县
3.1,2023-04-27,09:39:59,32.66,119.78,11,江苏扬州市江都区
3.2,2023-04-26,15:53:39,42.15,83.32,15,新疆阿克苏地区库车市
3.3,2023-04-26,02:34:05,39.21,74.52,10,新疆克孜勒苏州阿克陶县
4.8,2023-04-25,23:34:30,34.54,122.68,10,黄海海域
6.9,2023-04-25,04:00:55,-0.80,98.70,10,印尼苏门答腊岛南部海域
3.3,2023-04-24,22:13:05,43.31,83.68,11,新疆伊犁州新源县
7.2,2023-04-24,08:41:56,-29.65,-177.65,30,新西兰克马德克群岛
3.2,2023-04-23,20:46:17,24.24,98.61,8,云南德宏州芒市
3.8,2023-04-23,17:02:10,39.43,79.98,15,新疆和田地区墨玉县
5.8,2023-04-23,05:17:47,-0.75,98.60,20,印尼苏门答腊岛南部海域
5.8,2023-04-23,01:09:44,-0.80,98.90,20,印尼苏门答腊岛南部海域
5.2,2023-04-22,17:15:54,-5.30,125.60,10,班达海
6.3,2023-04-22,16:23:43,-5.25,125.60,10,班达海
4.7,2023-04-22,13:04:20,22.57,118.47,10,台湾海峡南部
5.9,2023-04-21,18:21:17,2.70,126.90,40,印尼马鲁古海
3.2,2023-04-20,16:12:56,34.41,93.49,8,青海玉树州治多县
6.2,2023-04-19,17:06:04,-6.00,149.50,50,新不列颠岛
3.1,2023-04-19,14:16:56,22.72,100.67,5,云南普洱市思茅区
5.0,2023-04-19,12:55:35,17.85,-100.50,10,墨西哥
3.3,2023-04-19,08:22:10,40.77,105.44,10,内蒙古阿拉善盟阿拉善左旗
6.6,2023-04-18,12:31:40,-22.25,179.50,600,斐济群岛以南海域
5.6,2023-04-18,10:40:53,54.05,159.90,120,俄罗斯堪察加半岛
3.3,2023-04-17,22:34:15,42.07,82.18,15,新疆阿克苏地区拜城县
3.0,2023-04-17,06:56:28,37.23,78.28,15,新疆和田地区皮山县
3.6,2023-04-16,12:38:37,41.25,83.24,10,新疆阿克苏地区库车市
3.1,2023-04-16,00:12:45,44.05,84.67,20,新疆塔城地区乌苏市
5.7,2023-04-15,23:07:06,-4.90,102.70,70,印尼苏门答腊岛南部海域
5.8,2023-04-15,23:01:35,-33.45,56.25,10,西南印度洋海岭
3.2,2023-04-15,02:32:03,29.63,102.03,10,四川甘孜州泸定县
5.3,2023-04-14,22:10:55,-5.50,152.30,70,新不列颠岛地区
5.7,2023-04-14,18:37:55,-6.40,112.95,600,印尼爪哇岛
7.1,2023-04-14,17:55:45,-6.30,111.20,600,印尼爪哇岛
3.6,2023-04-14,04:48:26,41.51,86.78,18,新疆巴音郭楞州尉犁县
3.4,2023-04-14,02:05:07,37.23,78.23,17,新疆和田地区皮山县
6.1,2023-04-13,23:54:55,49.35,-129.60,10,加拿大温哥华岛附近海域
3.0,2023-04-10,11:31:29,41.92,81.74,15,新疆阿克苏地区拜城县
5.3,2023-04-10,09:05:47,-3.45,148.95,10,俾斯麦海
5.6,2023-04-09,20:17:35,8.90,94.00,20,尼科巴群岛
5.5,2023-04-09,18:31:23,8.90,93.95,20,尼科巴群岛
3.2,2023-04-08,08:36:00,35.08,116.83,8,山东济宁市微山县
3.4,2023-04-07,23:44:03,41.92,81.75,15,新疆阿克苏地区拜城县
3.1,2023-04-07,20:19:57,41.95,81.76,15,新疆阿克苏地区拜城县
4.6,2023-04-07,20:17:05,41.94,81.78,15,新疆阿克苏地区拜城县
4.0,2023-04-07,18:36:29,23.19,121.41,10,台湾台东县海域
3.2,2023-04-07,14:40:55,34.41,93.53,10,青海玉树州治多县
5.8,2023-04-07,10:22:42,49.75,155.40,100,千岛群岛
4.0,2023-04-07,02:02:15,34.68,82.10,11,西藏阿里地区日土县
3.2,2023-04-06,19:22:27,39.63,122.80,10,辽宁大连市庄河市
3.6,2023-04-05,09:37:26,40.98,83.10,20,新疆阿克苏地区沙雅县
2.9,2023-04-05,09:05:41,38.46,114.30,12,河北石家庄市灵寿县
6.4,2023-04-05,06:18:14,7.60,-82.30,10,巴拿马以南海域
