震级,日期,时间,纬度,经度,深度,地点
5.9,2023-12-03,04:52:20,8.45,126.85,40,菲律宾棉兰老岛附近海域
6.2,2023-12-03,02:09:26,8.50,127.10,40,菲律宾棉兰老岛附近海域
6.0,2023-12-03,01:40:15,8.45,126.80,40,菲律宾棉兰老岛附近海域
6.1,2023-12-03,00:03:43,8.40,126.95,40,菲律宾棉兰老岛附近海域
7.6,2023-12-02,22:37:06,8.65,126.45,40,菲律宾棉兰老岛附近海域
5.8,2023-12-02,15:55:39,-19.20,-69.10,100,智利北部
4.0,2023-12-02,02:24:56,24.26,98.08,10,云南德宏州芒市
3.6,2023-12-02,02:16:23,24.25,98.07,10,云南德宏州芒市
3.0,2023-12-02,01:44:39,24.25,98.07,10,云南德宏州芒市
5.0,2023-12-02,01:36:33,24.26,98.08,10,云南德宏州芒市
3.0,2023-12-01,23:51:59,39.27,97.30,11,甘肃酒泉市肃北县
3.2,2023-12-01,23:04:50,39.33,97.29,10,甘肃酒泉市肃北县
5.0,2023-12-01,22:55:56,39.30,97.27,9,甘肃酒泉市肃北县
3.3,2023-12-01,09:25:11,27.16,104.16,8,贵州毕节市威宁县
3.8,2023-12-01,04:36:26,28.43,104.76,8,四川宜宾市珙县
3.2,2023-11-30,20:17:11,40.17,106.08,15,内蒙古阿拉善盟阿拉善左旗
4.1,2023-11-30,19:25:40,40.20,106.13,21,内蒙古阿拉善盟阿拉善左旗
5.8,2023-11-30,15:54:58,-56.30,-27.35,100,南桑威奇群岛
3.7,2023-11-30,03:44:10,37.53,112.47,28,山西太原市清徐县
3.0,2023-11-29,20:40:42,36.42,76.07,10,新疆喀什地区塔什库尔干县
3.0,2023-11-28,07:38:47,41.19,83.70,10,新疆阿克苏地区库车市
3.4,2023-11-28,07:30:13,25.46,105.75,10,贵州黔西南州贞丰县
3.7,2023-11-28,06:15:47,28.60,87.82,10,西藏日喀则市萨迦县
6.6,2023-11-28,05:46:47,-3.70,143.95,20,巴布亚新几内亚附近海域
3.0,2023-11-27,22:46:46,24.67,102.94,10,云南玉溪市澄江市
3.0,2023-11-26,23:33:59,30.27,96.96,10,西藏昌都市八宿县
4.8,2023-11-26,12:31:09,24.00,122.50,18,台湾花莲县海域
4.2,2023-11-26,12:11:43,23.99,122.46,17,台湾花莲县海域
3.1,2023-11-26,05:02:24,41.00,82.86,20,新疆阿克苏地区沙雅县
3.9,2023-11-25,20:06:53,43.11,94.24,10,新疆哈密市伊州区
6.9,2023-11-24,17:05:02,20.15,145.55,10,马里亚纳群岛
4.0,2023-11-24,13:33:11,38.01,106.26,13,宁夏银川市灵武市
4.0,2023-11-23,00:13:13,39.51,77.23,17,新疆喀什地区伽师县
6.9,2023-11-22,12:47:30,-15.05,168.15,10,瓦努阿图群岛
6.1,2023-11-22,10:48:52,1.75,127.20,120,印尼哈马黑拉岛附近海域
3.3,2023-11-21,03:26:39,36.53,83.81,10,新疆和田地区民丰县
5.9,2023-11-20,05:01:31,41.15,142.50,80,日本北海道附近海域
5.9,2023-11-19,12:01:36,18.80,145.50,600,马里亚纳群岛
3.3,2023-11-18,17:48:35,36.55,106.31,15,宁夏中卫市海原县
3.4,2023-11-18,05:24:02,46.81,86.13,30,新疆塔城地区和布克赛尔县
6.8,2023-11-17,16:14:13,5.55,125.15,70,菲律宾棉兰老岛
5.9,2023-11-17,09:37:09,21.20,99.35,10,缅甸
3.6,2023-11-16,11:33:04,37.34,78.27,18,新疆和田地区皮山县
5.8,2023-11-16,07:26:17,1.90,124.19,310,印尼米纳哈沙半岛附近海域
3.6,2023-11-16,01:27:56,41.95,82.61,10,新疆阿克苏地区拜城县
4.0,2023-11-15,22:17:32,44.71,80.49,10,新疆伊犁州霍尔果斯市
5.9,2023-11-14,20:52:25,-6.10,148.20,60,新不列颠岛地区
5.7,2023-11-14,15:00:57,-3.70,87.00,10,南印度洋
3.4,2023-11-14,05:38:48,40.68,77.95,10,新疆克孜勒苏州阿合奇县
5.6,2023-11-13,22:40:54,-30.90,-179.55,420,新西兰克马德克群岛
5.3,2023-11-13,20:16:37,38.52,72.20,20,塔吉克斯坦
5.7,2023-11-13,15:43:35,-3.85,151.00,20,新爱尔兰地区
3.6,2023-11-13,08:56:31,26.98,102.79,15,四川凉山州宁南县
5.8,2023-11-12,12:51:42,-3.40,151.85,50,新爱尔兰地区
3.0,2023-11-12,05:21:10,41.97,82.58,10,新疆阿克苏地区拜城县
5.9,2023-11-11,04:45:11,-6.15,130.20,10,班达海
4.7,2023-11-11,00:54:38,23.42,121.70,30,台湾台东县海域
5.8,2023-11-10,18:10:01,45.60,151.40,100,千岛群岛
5.7,2023-11-10,11:50:36,-6.00,130.15,10,班达海
5.5,2023-11-10,04:53:46,-5.50,145.90,60,巴布亚新几内亚
3.3,2023-11-08,23:34:35,40.48,77.74,10,新疆克孜勒苏州阿合奇县
6.7,2023-11-08,21:02:05,-6.15,129.95,10,班达海
3.1,2023-11-08,19:13:59,40.51,77.66,10,新疆克孜勒苏州阿图什市
5.4,2023-11-08,18:27:50,31.55,-103.90,10,美国得克萨斯州
7.1,2023-11-08,12:52:52,-6.55,129.45,10,班达海
3.1,2023-11-08,07:25:37,33.71,89.36,8,西藏那曲市双湖县
3.2,2023-11-08,03:46:14,40.51,77.69,10,新疆克孜勒苏州阿图什市
3.3,2023-11-08,03:34:17,40.53,77.69,10,新疆克孜勒苏州阿图什市
4.3,2023-11-08,02:52:00,40.54,77.68,12,新疆克孜勒苏州阿图什市
3.6,2023-11-08,02:31:32,40.55,77.74,11,新疆克孜勒苏州阿合奇县
4.3,2023-11-08,02:15:03,40.55,77.64,11,新疆克孜勒苏州阿图什市
5.4,2023-11-08,02:09:48,40.47,77.72,10,新疆克孜勒苏州阿图什市
3.0,2023-11-07,10:07:01,42.07,85.62,10,新疆巴音郭楞州库尔勒市
3.1,2023-11-06,13:42:49,38.89,75.23,10,新疆克孜勒苏州阿克陶县
5.6,2023-11-05,23:29:23,-20.50,169.20,40,瓦努阿图群岛
3.1,2023-11-05,12:59:54,39.36,97.29,14,甘肃酒泉市肃北县
4.3,2023-11-04,19:24:11,22.08,112.25,8,广东江门市恩平市
5.9,2023-11-04,02:02:54,28.80,82.10,10,尼泊尔
5.3,2023-11-02,14:50:27,11.50,125.90,20,菲律宾群岛
6.1,2023-11-02,05:04:44,-10.20,123.80,20,帝汶岛地区
6.7,2023-10-31,20:33:42,-28.75,-71.65,20,智利中部沿岸近海
3.7,2023-10-31,19:13:53,40.66,83.75,36,新疆阿克苏地区沙雅县
6.5,2023-10-31,19:10:55,-17.60,-178.95,550,斐济群岛
2.6,2023-10-31,10:01:58,39.48,116.75,10,河北廊坊市安次区
4.1,2023-10-31,08:40:03,36.48,83.73,10,新疆和田地区民丰县
3.9,2023-10-31,06:24:08,36.56,83.74,10,新疆和田地区民丰县
3.6,2023-10-31,02:12:38,41.14,83.31,22,新疆阿克苏地区库车市
3.8,2023-10-30,20:30:05,40.87,84.12,16,新疆巴音郭楞州尉犁县
3.0,2023-10-30,16:56:46,41.13,83.28,20,新疆阿克苏地区沙雅县
3.1,2023-10-30,07:00:34,41.09,83.58,10,新疆阿克苏地区沙雅县
3.2,2023-10-30,06:39:14,41.08,83.59,10,新疆阿克苏地区沙雅县
3.1,2023-10-30,04:53:45,39.63,82.79,25,新疆阿克苏地区沙雅县
3.2,2023-10-29,20:58:47,36.53,83.81,10,新疆和田地区民丰县
6.2,2023-10-29,12:32:09,-19.45,168.65,70,瓦努阿图群岛
3.0,2023-10-29,01:34:46,42.30,87.14,20,新疆巴音郭楞州和硕县
3.2,2023-10-29,00:26:24,41.02,83.43,16,新疆阿克苏地区沙雅县
5.4,2023-10-28,11:44:11,59.05,-136.40,10,美国阿拉斯加州
3.0,2023-10-28,05:30:01,44.64,93.04,10,新疆哈密市巴里坤县
